Source Name,ArrayExpress_Accession,Cell Type,Dir
2i_1,ERR523111,2i,/home/s2321661/Test/align/ERR523111/ERR523111_Aligned.sortedByCoord.out.bam
2i_10,ERR522883,2i,/home/s2321661/Test/align/ERR522883/ERR522883_Aligned.sortedByCoord.out.bam
2i_11,ERR522830,2i,/home/s2321661/Test/align/ERR522830/ERR522830_Aligned.sortedByCoord.out.bam
2i_12,ERR523005,2i,/home/s2321661/Test/align/ERR523005/ERR523005_Aligned.sortedByCoord.out.bam
2i_13,ERR523046,2i,/home/s2321661/Test/align/ERR523046/ERR523046_Aligned.sortedByCoord.out.bam
2i_14,ERR522906,2i,/home/s2321661/Test/align/ERR522906/ERR522906_Aligned.sortedByCoord.out.bam
2i_15,ERR523158,2i,/home/s2321661/Test/align/ERR523158/ERR523158_Aligned.sortedByCoord.out.bam
2i_16,ERR522948,2i,/home/s2321661/Test/align/ERR522948/ERR522948_Aligned.sortedByCoord.out.bam
2i_17,ERR523169,2i,/home/s2321661/Test/align/ERR523169/ERR523169_Aligned.sortedByCoord.out.bam
2i_18,ERR523160,2i,/home/s2321661/Test/align/ERR523160/ERR523160_Aligned.sortedByCoord.out.bam
2i_19,ERR522929,2i,/home/s2321661/Test/align/ERR522929/ERR522929_Aligned.sortedByCoord.out.bam
2i_2,ERR522959,2i,/home/s2321661/Test/align/ERR522959/ERR522959_Aligned.sortedByCoord.out.bam
2i_20,ERR522892,2i,/home/s2321661/Test/align/ERR522892/ERR522892_Aligned.sortedByCoord.out.bam
2i_21,ERR523126,2i,/home/s2321661/Test/align/ERR523126/ERR523126_Aligned.sortedByCoord.out.bam
2i_22,ERR522829,2i,/home/s2321661/Test/align/ERR522829/ERR522829_Aligned.sortedByCoord.out.bam
2i_23,ERR523084,2i,/home/s2321661/Test/align/ERR523084/ERR523084_Aligned.sortedByCoord.out.bam
2i_24,ERR522868,2i,/home/s2321661/Test/align/ERR522868/ERR522868_Aligned.sortedByCoord.out.bam
2i_25,ERR522885,2i,/home/s2321661/Test/align/ERR522885/ERR522885_Aligned.sortedByCoord.out.bam
2i_26,ERR523199,2i,/home/s2321661/Test/align/ERR523199/ERR523199_Aligned.sortedByCoord.out.bam
